systemId,id,STATE
4205000006,4206000001,KY
4905000064,4906340001,WV
3905460001,3906460001,IN
4905000032,4906140001,PA
3905000002,3906020001,IN
4905000033,4906150003,PA
4905000066,4906150001,PA
4905000034,4906150002,PA
3905000041,3906030001,IL
3905440001,3906440001,IL
3905000022,3906040001,IN
3305000003,3306000003,KY
1305000625,1306000011,PA
3305000004,3306000004,WV
3305000005,3306000005,OH
3905000003,3906050001,OH
1505000042,1506000292,IN
4905000035,4906160002,PA
4905000036,4906160001,PA
4905000072,4906170002,PA
4905000037,4906170001,PA
3905000023,3906060001,KY
4905000039,4906180002,PA
4905000040,4906180001,PA
3905000004,3906070001,KY
3905000005,3906080001,IN
3905520001,3906520001,OH
3905520002,3906520002,OH
3905520003,3906520003,OH
3905520004,3906520004,OH
3905520005,3906520005,OH
3905520006,3906520006,OH
4905000041,4906190002,PA
4905000007,4906000001,WV
3905000006,3906090001,IL
4905000005,4906000002,PA
3905100001,3906100001,IN
3905110001,3906110001,KY
4905000019,4906000004,PA
4905000023,4906000008,PA
3905000024,3906120001,IN
3905000025,3906130001,IL
4905000074,4906370001,PA
4905000044,4906210001,PA
4905000045,4906210002,PA
3905000026,3906140001,IN
4205000001,4206000003,KY
4205000002,4206000007,KY
3905000027,3906150001,IL
3905000009,3906160001,KY
3905530001,3906530001,OH
3905470001,3906470001,IN
3905100002,3906100002,IN
3905100003,3906100003,IN
3305000007,3306000007,WV
3305000006,3306000006,WV
3905000010,3906170001,IN
3905550001,3906560002,IN
3305000009,3306000009,OH
3305000008,3306000008,OH
1505000946,1506000295,IN
4905000046,4906220002,PA
3905000011,3906180001,IN
4905000006,4906000014,PA
4905000031,4906000015,PA
4905000029,4906000016,PA
4905000030,4906000017,PA
3905000012,3906190001,IN
3905000013,3906200001,KY
3905000040,3906210001,IN
3905000042,3906220001,IN
3905000028,3906230001,KY
3905000014,3906240001,IN
3905000015,3906250001,IN
3305000015,3306000015,OH
3305000014,3306000014,OH
3305000010,3306000010,WV
3305000016,3306000016,KY
3905490001,3906490001,IN
4905000065,4906350001,PA
4905000049,4906250004,PA
4905000050,4906250001,PA
4905000051,4906250002,PA
4205000008,4206000010,KY
4205000009,4206000009,KY
4205000010,4206000008,KY
4005000001,4006000001,IL
4005000001,4006000001,IL
4005000001,4006000001,IL
3905000016,3906260001,IL
3905270002,3906270003,IN
3905270001,3906270004,IN
3905270003,3906270001,IN
3905270004,3906270002,IN
