systemId,Levee_year,urban_percentage
3405000014,1952,9.925123467
5105260003,1968,9.554140127
2205000032,1978,9.548611111
4705000153,1975,9.090909091
3605000022,1968,8.9306698
5805000047,1954,8.904109589
2205000004,1956,8.701134931
5505000018,1965,8.695652174
2205000063,1969,8.571428571
3605000045,1978,8.45323741
2405000021,1992,8.450704225
5505000010,1959,8.333333333
5105300001,1991,8.22622108
4705000095,1950,8.148148148
5905000048,1950,7.984031936
4005000001,1950,7.921714818
4005000001,1950,7.921714818
4005000001,1950,7.921714818
6005000705,1960,7.692307692
5205000423,1965,7.142857143
4705000032,1966,7.103825137
3405000001,1991,7.06287683
5805000026,1959,6.51465798
5505000024,1995,6.512890095
6005000021,1967,6.25
3805020027,1983,6.060606061
5405000002,1950,5.696202532
3405000034,1961,5.411255411
5305000029,1969,5.405405405
5205000923,1976,5.369515012
5105120001,1979,5
3605000050,1951,4.87804878
5105660001,1966,4.867256637
6005000421,1964,4.301075269
3405000031,1973,4.301075269
3905440001,1952,4.285714286
4705000113,1961,4.166666667
3905000002,1960,4.161781946
5205001151,1971,3.815844048
5605920001,1948,3.787878788
5205001011,1962,3.78250591
4705000054,1968,3.75
5205020051,1961,3.716814159
4705000009,1964,3.542234332
4705000090,1971,3.448275862
5205000641,1950,3.397683398
4705000164,1993,3.396851698
5105260002,1968,3.389830508
5205000521,1952,3.341511859
6005000255,1965,3.225806452
5805000025,1959,3.121098627
5105920005,1979,3.03030303
3405000117,1963,2.878103837
4705000114,1952,2.857142857
3605000025,1957,2.8
4705000042,1951,2.686567164
6005000225,1949,2.678571429
3405000044,1953,2.610966057
4705000034,1987,2.525252525
5105080001,1963,2.388059701
3405000065,1962,2.34375
4705000125,1969,2.325581395
4405000516,1956,2.287298562
5205001221,1982,2.252252252
3605000094,1954,2.243589744
3705000010,1964,2.197802198
3605000121,1952,2.153846154
4005000010,1950,2.141230068
5105070003,1967,2.139037433
3405000051,1968,2.122954445
5105130001,1966,2.047082907
5105260001,1968,2.046479362
5305000013,1959,2.040816327
5805000035,1959,1.982651797
5905000013,1956,1.89728492
3405000042,1956,1.885369532
5205000412,1960,1.858108108
5105070001,1967,1.839237057
3905000033,1952,1.83908046
5105160001,1967,1.805674979
5305000025,1949,1.801801802
3605000024,1955,1.78412132
4705000031,1966,1.75879397
5505000007,1964,1.754385965
4705000005,1964,1.748807631
5105110001,1963,1.740020471
3605000141,1972,1.729559748
4705000033,1987,1.647875108
3405000030,1957,1.6
4005000012,1950,1.5625
3405000072,1970,1.470588235
4705000003,1962,1.449275362
3405000064,1959,1.415929204
3605000139,1950,1.408450704
4705000041,1951,1.405700898
3605000079,1950,1.384083045
4705000030,1949,1.372212693
4705000029,1964,1.363636364
4705000006,1964,1.360544218
2205000006,1972,1.360544218
3405000032,1962,1.260192735
4005000002,1950,1.255794185
4005000002,1950,1.255794185
2205000050,1964,1.25
5305000026,1949,1.195219124
5105140001,1970,1.188455008
5905000003,1956,1.149425287
3405000006,1952,1.131541726
4705000083,1952,1.111111111
5805000036,1959,1.098901099
5105060001,1968,1.079622132
5505000021,1948,1.052631579
3605000138,1953,1.052631579
5605360001,1951,1.048617731
3705000008,1950,1.047120419
4705000004,1964,1.041666667
3405000033,1962,1.03626943
5205001211,1968,1.023391813
3705000022,1986,1.01010101
5105010001,1967,0.990712074
3405000119,1964,0.99009901
5905000021,1950,0.962936171
5905000021,1950,0.962936171
5905000021,1950,0.962936171
5905000021,1950,0.962936171
4705000015,1964,0.958605664
3905000034,1971,0.955414013
4005000021,1950,0.929363336
4005000021,1950,0.929363336
5805000011,1995,0.91954023
3705000063,1952,0.902527076
3905000015,1976,0.898876404
4005000004,1988,0.85106383
4005000004,1988,0.85106383
5905000001,1967,0.850419159
3405000073,1962,0.847457627
4705000040,1951,0.836320191
5205000401,1955,0.823045267
5105260005,1968,0.81300813
4005000003,1950,0.806371822
4005000003,1950,0.806371822
4005000003,1950,0.806371822
5205000411,1960,0.8
4005000011,1950,0.782656878
4005000011,1950,0.782656878
4005000011,1950,0.782656878
5905000009,1967,0.758341759
3405000017,1995,0.753623188
5105190001,1971,0.731707317
3605000140,1962,0.70754717
3605000063,1959,0.706713781
5105070002,1967,0.697134005
4705000089,1949,0.688073394
4705000010,1964,0.684931507
5105190002,1971,0.684931507
3605000208,1952,0.666666667
3705000024,1951,0.655737705
5205000771,1955,0.642054575
5205000421,1965,0.613496933
4705000002,1962,0.606060606
3405000115,1969,0.598802395
4005000015,1950,0.569663417
6005000020,1952,0.549450549
5905000023,1978,0.544277729
4005000005,1950,0.508221226
