year_diff,Levee_year,levee_urban,county_urban,levee_area,county_area
0.0,1977,149.5895557171492,8631.11709271203,1710.026,339223.0029196706
0.0,1978,189.12232312270558,8710.103681553486,1731.8519999999999,370665.2071812281
0.0,1979,316.55502717726176,9439.77713153875,1900.9070000000002,381269.83179695136
0.0,1980,294.30550530194466,9642.399311440444,1317.279,384544.8522046872
0.0,1981,244.68479550588575,10652.263024681737,1188.8709999999999,352789.6875780011
0.0,1982,237.64901257115554,11242.562484955939,755.1,383461.4334040765
0.0,1983,249.61516302405863,11121.0789291709,742.272,357533.2071721439
0.0,1984,291.3519669857432,12547.798973587389,927.0569999999999,327844.3652256676
0.0,1985,255.69843454081652,11579.079131870925,744.2839999999999,279275.2355607354
0.0,1986,125.29585378035203,10340.283021651987,512.657,244926.25264059048
0.0,1987,133.72202732706603,10991.575520835553,516.0,240676.1007278257
0.0,1988,135.68678499888384,10130.782559674562,609.3570000000001,267015.6048987783
0.0,1989,130.816850894646,9257.925102908313,551.7869999999999,216937.04214827847
0.0,1990,113.37767222610242,9595.453441135327,664.948,192435.79486114907
0.0,1991,110.91941689458548,8620.54115200368,503.15000000000003,184836.67729659443
0.0,1992,188.40765105406012,12106.992834157432,1808.6299999999999,206099.39915351613
0.0,1993,185.05776426160733,11624.691393979376,1803.3829999999996,195152.0933543518
0.0,1994,162.12794020788328,9582.233020958914,1770.3719999999996,158996.40825092734
0.0,1995,511.7188313982432,24331.691719258713,5948.231000000002,285685.9264911774
1.0,1948,1801.2714170140132,26578.828416717603,91930.846,1284071.8459548445
1.0,1949,1149.251618537126,14489.89284047328,48802.56799999999,679268.8556417215
1.0,1950,1153.0334976846054,14894.472380556657,48868.97999999999,696068.3730946621
1.0,1951,1300.9433005466203,16265.719009002169,49172.243,747080.7258341021
1.0,1952,1289.991793254865,16813.605210282272,49971.729,749371.7898201294
1.0,1953,1369.3303409178452,17188.604432676715,54227.366,703608.971897891
1.0,1954,941.2881635969945,14249.171849308535,11550.208999999999,530975.831353181
1.0,1955,651.0807687955739,13770.492123340311,10580.948,433447.8784749297
1.0,1956,640.6284622786652,15628.027387379,10642.627,442571.236781059
1.0,1957,689.7345738220581,18146.224743960396,11770.215,662726.3449977838
1.0,1958,625.8849381936482,24360.671141657334,14077.869999999999,809617.2490167164
1.0,1959,630.059027672834,24313.80318670718,13921.821,804693.245297546
1.0,1960,544.6496838000518,25430.173794689028,9233.081000000002,809058.4646209024
1.0,1961,449.3099457496428,26469.100136978785,9086.141,999617.217341747
1.0,1962,449.55571572306036,27358.853134178265,9199.091,1114753.9441165687
1.0,1963,349.8666337938988,25503.092467263254,9481.764000000001,1105013.0081076026
1.0,1964,513.471992503258,26979.091694274033,30019.811999999994,980759.6887566671
1.0,1965,526.5627815366392,22342.378657093785,28443.720999999998,898435.0596969539
1.0,1966,545.4394230893944,24515.905054185438,27910.764999999996,983550.9367632319
1.0,1967,521.4073390505223,23048.799402812754,27629.801999999996,947955.7495066779
1.0,1968,474.5277378895112,20266.67155828972,26989.670999999984,786478.1333058375
1.0,1969,478.6758084174903,18376.444592876967,26961.057999999997,719065.2279818221
1.0,1970,474.80965272683005,19191.090206639994,23968.143,769051.8381976589
1.0,1971,263.52836453303183,16640.196731615746,2447.839,690040.3803042326
1.0,1972,172.75893647028914,14691.016638179522,1480.831,609153.416709159
1.0,1973,159.86064900411395,11632.178248062479,1813.5080000000003,487358.7041011467
1.0,1974,207.53632351492828,11177.260973933528,1935.0159999999998,509423.9832499159
1.0,1975,202.02579896412453,11482.842044085819,2036.497,443508.4551294069
1.0,1976,176.0066992304881,11636.012973559202,1880.9590000000003,433347.72442132654
1.0,1977,151.76108557448293,8726.567855586009,1710.026,339223.0029196706
1.0,1978,192.0467817935986,8798.864111975552,1731.8519999999999,370665.2071812281
1.0,1979,319.9810699446676,9527.09901574785,1900.9070000000002,381269.83179695136
1.0,1980,297.10466722575404,9732.096119672591,1317.279,384544.8522046872
1.0,1981,246.4214861430471,10748.267682904574,1188.8709999999999,352789.6875780011
1.0,1982,239.2762032083169,11336.687442274324,755.1,383461.4334040765
1.0,1983,251.74527839240278,11225.70478000855,742.272,357533.2071721439
1.0,1984,293.5446323863663,12664.221970270357,927.0569999999999,327844.3652256676
1.0,1985,257.2622718274775,11692.816107188173,744.2839999999999,279275.2355607354
1.0,1986,126.29634226461778,10450.645313392724,512.657,244926.25264059048
1.0,1987,134.66191116016898,11112.319097762054,516.0,240676.1007278257
1.0,1988,136.4389854619427,10247.71286211631,609.3570000000001,267015.6048987783
1.0,1989,131.56905135770486,9381.349052592603,551.7869999999999,216937.04214827847
1.0,1990,113.68957927529416,9714.001046790107,664.948,192435.79486114907
1.0,1991,112.16040680815046,8750.04313340978,503.15000000000003,184836.67729659443
1.0,1992,190.90045816099257,12277.784272566978,1808.6299999999999,206099.39915351613
1.0,1993,187.5505713685398,11791.92026706415,1803.3829999999996,195152.0933543518
1.0,1994,164.62074731481573,9719.829518376648,1770.3719999999996,158996.40825092734
1.0,1995,520.3226642946895,24667.599614483643,5948.231000000002,285685.9264911774
